Тип вакансии;Название вакансии;Мин. зарплата (рублей);Макс. зарплата (рублей);Тип зарплаты;Требуемый опыт (лет);Город;Компания;Требуемые навыки;Дата публикации
Системный аналитик;Младший системный аналитик департамента ИТ;;;;;Москва;Красное & Белое, розничная сеть;Разработка инструкций, Разработка технических заданий, Тестирование разработок, Взаимодействие с разработчиками 1С;09.06.2026
Системный аналитик;Системный аналитик (сетевые технологии);;;;;Санкт-Петербург;ООО Датаджайл;Информационная безопасность, Проектирование ЛВС;08.06.2026
Системный аналитик;Аналитик данных;;;;;Санкт-Петербург;ООО Бэйби Опт Груп;Power BI, Исследовательский анализ данных, Математическая статистика, MS Excel, Формирование аналитической отчетности, SQL;09.06.2026
Системный аналитик;Системный аналитик 1С: ERP;;;;3.0;Долгопрудный;ПАО ДНПП;;08.06.2026
Системный аналитик;Бизнес-аналитик (финансы);250000;;net;;Москва;ROSSKO;;09.06.2026
Системный аналитик;Системный аналитик 1С: Зарплата и управление персоналом (ЗУП);;;;;Челябинск;Красное & Белое, розничная сеть;1С: Зарплата и управление персоналом, Системный анализ, Оптимизация бизнес-процессов, Автоматизация, Разработка инструкций, Постановка задач разработчикам, Техническое задание, Моделирование бизнес процессов;09.06.2026
Системный аналитик;Системный аналитик 1С ERP;;;;3.0;Казань;АЗС ИРБИС;;08.06.2026
Системный аналитик;Системный аналитик 1С (Казначейство);;;;3.0;Москва;ПИК-специализированный застройщик. ПИК;1С, 1С: Предприятие, Системный анализ;08.06.2026
Системный аналитик;Системный аналитик 1С: Зарплата и управление персоналом (ЗУП);;;;;Москва;Красное & Белое, розничная сеть;1С: Зарплата и управление персоналом, Системный анализ, Оптимизация бизнес-процессов, Автоматизация, Разработка инструкций, Постановка задач разработчикам, Техническое задание, Моделирование бизнес процессов;09.06.2026
Системный аналитик;Эксперт Системный аналитик (развитие команды);;;;3.0;Рыбинск;BIV;Системный анализ, UML, BPMN, Руководство коллективом;08.06.2026
Системный аналитик;Системный аналитик 1С: Зарплата и управление персоналом (ЗУП);;;;;Краснодар;Красное & Белое, розничная сеть;1С: Зарплата и управление персоналом, Системный анализ, Оптимизация бизнес-процессов, Автоматизация, Разработка инструкций, Постановка задач разработчикам, Техническое задание, Моделирование бизнес процессов;09.06.2026
Системный аналитик;Системный аналитик;;;;;Москва;ООО ФАКЕЛ;;05.06.2026
Системный аналитик;Системный аналитик;170000;;net;3.0;Москва;Форум-Авто;Kibana, Elasticsearch, Grafana, Linux, REST, SOAP, Swagger;05.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;Сбер. IT;;05.06.2026
Системный аналитик;Продуктовый аналитик;180000;250000.0;net;;Москва;BelkaCar;SQL, Python, Анализ данных, А/В тесты, Математическая статистика;08.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;Лига Цифровой Экономики;SQL, REST API, Разработка функциональных требований;05.06.2026
Системный аналитик;Бизнес-аналитик 1С;;;;;Уфа;ООО Створ;1С-Битрикс, API;09.06.2026
Системный аналитик;Бизнес-аналитик;;;;;Екатеринбург;Монетка, Торговая сеть;;08.06.2026
Системный аналитик;Бизнес-аналитик;;;;;Казань;ГК ICL;UML, ГОСТ, IDEF0, Постановка задач разработчикам;08.06.2026
Системный аналитик;Бизнес-аналитик в команду сопровождения банковских процессов;;;;3.0;Москва;АО Банк ДОМ.РФ IT;;09.06.2026
Системный аналитик;Системный аналитик (Банки);;;;;Москва;Decart IT-production;Системный анализ, Анализ данных, SQL, BPMN, UML;05.06.2026
Системный аналитик;Системный аналитик(RLM);;;;;Москва;Сбер. IT;;05.06.2026
Системный аналитик;Аналитик данных маркетплейсов;80000;;net;;Москва;SCorp;Python, Аналитическое мышление;08.06.2026
Системный аналитик;Системный аналитик (Градостроительство);;;;;Москва;ГКУ Инфогород;;05.06.2026
Системный аналитик;Бизнес-аналитик / Руководитель проектов 1С;250000;500000.0;gross;;Ростов-на-Дону;Crystal Systems;;09.06.2026
Системный аналитик;Бизнес-аналитик 1С:ERP по РСБУ;140000;150000.0;gross;;Казань;АО Агросила;;09.06.2026
Системный аналитик;Бизнес-аналитик / AI-специалист по внутренним продуктам и автоматизациям (вайбкодинг);120000;200000.0;net;;Москва;ООО АКТИВ СМАРТ;Бизнес-анализ, Автоматизация бизнес-процессов, Аналитическое мышление, Анализ требований, Описание бизнес-процессов, Нейронные сети, ChatGPT, вайбкодинг, Анализ обратной связи, Продуктовые метрики, Power BI, Разработка технических заданий, Управление бэклогом;09.06.2026
Системный аналитик;Системный аналитик (ученик);60000;;gross;;Санкт-Петербург;Aston;Системный анализ, Бизнес-анализ, MS Excel, Python, Функциональное тестирование, Разработка технических заданий, QA, API, JavaScript, Разработка ПО, Менеджмент;05.06.2026
Системный аналитик;Системный аналитик / Бизнес аналитик / Full-stack Analyst;;;;3.0;Москва;Терем;1С-Битрикс, JavaScript, Git, CSS, HTML, MySQL, PHP, jQuery, Webpack, Аналитический склад ума, Веб-аналитика, Постановка задач разработчикам, Аналитическое мышление, Аналитика, Системный анализ, ERP-системы на базе 1С, 1С, Bitrix, Битрикс24, Написание технических заданий, Системная интеграция, Разработка технических заданий, Создание конфигурации 1С, Разработка инструкций;05.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;Корпорация ЭЛАР;SQL, ГОСТ 34, BPMN, UML, User Flow, SOAP, Linux;02.06.2026
Системный аналитик;Системный аналитик;;250000.0;net;3.0;Санкт-Петербург;ООО Неватех;Веб-аналитика;02.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Нижний Новгород;IBS;;02.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;IBS;;02.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;ООО Лоция;SQL, Микросервисная архитектура, BPMN, UML, REST API, PostgreSQL;02.06.2026
Системный аналитик;Системный аналитик (Интернет-банк для физических лиц);;;;;Санкт-Петербург;ПАО Банк Санкт-Петербург;UML, BPMN, SQL, Системный анализ, Бизнес-анализ, Swagger, User Story, Use case;06.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Воронеж;ООО Совкомбанк Технологии;Linux, Spring Boot, Angular, PostgreSQL, REST API, gRPC, JSON, XML;02.06.2026
Системный аналитик;Системный аналитик;;;;;Омск;Т-Банк. ИТ. Аналитика;;02.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;ООО Техлидс;Системный анализ, JSON API, PostgreSQL, Agile, Аналитическое мышление, SQL, Разработка пользовательской документации, Управление стейкхолдерами, Atlassian Confluence, User Story, Анализ требований, BPMN, Use case, UML, Разработка бизнес-требований, Постановка задач разработчикам;02.06.2026
Системный аналитик;Системный аналитик;;220000.0;net;;Ижевск;Iconicompany;SQL, Системный анализ, Управление информационной безопасностью, Управление бэклогом, Управление требованиями;01.06.2026
Системный аналитик;Системный аналитик;;;;;Москва;Fix Price. IT;SQL, Системный анализ, UML, PlantUML;01.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;Сбер. IT;;01.06.2026
Системный аналитик;Системный аналитик;;150000.0;gross;;Москва;DDPlanet;Анализ данных, Информационные технологии, Оптимизация бизнес-процессов, Аналитические исследования, Аналитика, Системный подход;01.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;ГКУ Инфогород;Apache Kafka, Camunda, REST API, MS SQL, BPMN, UML, Use case;01.06.2026
Системный аналитик;Системный аналитик;;;;;Москва;Правительство Москвы;BPMN, UML, DFD, IDEF, ГОСТ 19, ГОСТ 34, SQL, Atlassian Confluence, Atlassian Jira;01.06.2026
Системный аналитик;Системный аналитик;;;;;Челябинск;АО ЧЭМК;Разработка функциональных требований;01.06.2026
Системный аналитик;Бизнес-аналитик в Отдел автоматизации управления персоналом;;;;3.0;Москва;RWB (Wildberries & Russ);;08.06.2026
Системный аналитик;Системный аналитик в команду карточных продуктов;;;;;Москва;АО Банк ДОМ.РФ IT;;05.06.2026
Системный аналитик;Продуктовый аналитик, Личный кабинет Озон Доставка;;;;3.0;Москва;Ozon Tech;Системный анализ, Бизнес-анализ, Сбор требований, REST API, Apache Kafka, gRPC, PostgreSQL, BPMN, UML, Постановка задач разработчикам;08.06.2026
Системный аналитик;Ведущий системный аналитик;;;;3.0;Санкт-Петербург;ООО Датаджайл;BPMN, MS SQL, UML, Разработка технических заданий, Бизнес-анализ;01.06.2026
Системный аналитик;Системный аналитик (junior);;;;;Сочи;Сбер. IT;;01.06.2026
Системный аналитик;Аналитик данных;;;;3.0;Москва;UZUM TECHNOLOGIES. IT;;05.06.2026
Системный аналитик;Системный аналитик (ГИС МТ «Честный знак»);;180000.0;net;;Москва;Мираторг, Агропромышленный холдинг;;04.06.2026
Системный аналитик;Старший системный аналитик;;;;3.0;Москва;БФТ-Холдинг;;01.06.2026
Системный аналитик;Бизнес-аналитик;100000;;net;3.0;Уфа;Группа компаний СКС;Бизнес-анализ, Анализ бизнес-процессов, Системный анализ, Автоматизация бизнес-процессов, Постановка задач разработчикам, Реинжиниринг бизнес-процессов, Power BI, Моделирование бизнес-процессов, Описание бизнес-процессов, Разработка технических заданий, Анализ требований, SQL, Draw.io;05.06.2026
Системный аналитик;Главный системный аналитик;;;;3.0;Москва;МАГНИТ, Розничная сеть. IT;SQL, Big Data, Python, Apache Airflow, Машинное обучение, Системный анализ;01.06.2026
Системный аналитик;Системный аналитик (ТБАНК);;;;;Москва;ООО ИЦ АЙ-ТЕКО;;01.06.2026
Системный аналитик;Системный аналитик (Криптография);;;;3.0;Москва;Bell Integrator;SQL, REST API, Криптография, КриптоПро, Разработка нефункциональных требований, Разработка функциональных требований;01.06.2026
Системный аналитик;Senior/middle Системный аналитик;;;;;Новомосковский административный округ;T2. IT и Digital;Бизнес-анализ, Системный анализ, UML, SQL, SOAP, REST, Swagger, Postman;01.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;Сбер. IT;;28.05.2026
Системный аналитик;Системный аналитик (направление информационной безопасности);;;;;Москва;Ай-Теко (I-Teco);;02.06.2026
Системный аналитик;Бизнес-аналитик;;;;3.0;Москва;ЛОКО-БАНК;REST, SQL, SOAP, BPMN;04.06.2026
Системный аналитик;Системный аналитик (банковские продукты);;;;3.0;Москва;ПАО Банк ПСБ, ИТ;;01.06.2026
Системный аналитик;Системный аналитик (Middle);150000;;net;;Москва;TechSearch;SQL, JSON, XML, REST API, UML, BPMN, Swagger, OpenAPI, Системный анализ, Интеграции, Микросервисная архитектура, Atlassian Jira, Atlassian Confluence;30.05.2026
Системный аналитик;Бизнес аналитик;200000;;net;3.0;Москва;РКС Девелопмент;;04.06.2026
Системный аналитик;Бизнес-аналитик;;;;3.0;Москва;ООО Комита Цифровые Технологии;;04.06.2026
Системный аналитик;Системный аналитик (Global Markets Order Management System);;;;3.0;Москва;Сбер. IT;REST API, Apache Kafka;03.06.2026
Системный аналитик;Бизнес-аналитик;;;;3.0;Москва;Cмарт Горизонт (Smart Tech Group);;03.06.2026
Системный аналитик;Системный аналитик / бизнес аналитик;;;;3.0;Санкт-Петербург;Пивоварни Бочкарев;;28.05.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;Ингосстрах;Разработка технических заданий;25.05.2026
Системный аналитик;Системный аналитик;;;;3.0;деревня Путилково;ООО МФК ВЭББАНКИР;Системный анализ, SQL, BPMN, JSON API, RabbitMQ;25.05.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;ООО Цифролаб;BPMN, UML, Системная интеграция, Документирование бизнес-требований, Atlassian Confluence, Atlassian Jira, Системный анализ, Power BI, Разработка функциональных требований;25.05.2026
Системный аналитик;Fullstack - аналитик (Бизнес/системный аналитик);;;;3.0;Москва;ООО Платежное Решение;;29.05.2026
Системный аналитик;BI-аналитик/Аналитик данных;;;;;Владимир;ООО ЭлРос;Power BI, Анализ данных, Аналитическое мышление, Бизнес-анализ, Работа с базами данных, Работа с большим объемом информации, Аналитика, Сбор и анализ информации, PowerBI, Системный анализ;02.06.2026
Системный аналитик;Старший бизнес-аналитик/Senior аналитик данных (B2B продажи);330000;;gross;3.0;Москва;ООО ВсеИнструменты.ру;Аналитическое мышление, Управление стейкхолдерами, SQL, A/B тесты, Анализ данных, Бизнес-анализ, Анализ бизнес-процессов, MS Excel, Постановка задач разработчикам, Анализ бизнес показателей, OLAP, Unit-экономика;05.06.2026
Системный аналитик;Бизнес-аналитик на банковский проект;;230000.0;net;3.0;Санкт-Петербург;DCloud;;05.06.2026
Системный аналитик;Бизнес-аналитик в продукт Мосволонтёр;;;;3.0;Москва;ГКУ Инфогород;;05.06.2026
Системный аналитик;Системный аналитик (комплексы 1С);;;;3.0;Курган;ООО Восток.Софт;Разработка технических заданий, Постановка задач разработчикам, BPMN, Системный анализ, Бизнес-анализ;30.05.2026
Системный аналитик;Системный аналитик Middle / Senior;;;;3.0;Москва;Альфа-Банк;Системный анализ;28.05.2026
Системный аналитик;Системный аналитик Middle / Senior;;;;3.0;Санкт-Петербург;Альфа-Банк;;28.05.2026
Системный аналитик;Старший системный аналитик;;;;;Москва;РТЛабс;;26.05.2026
Системный аналитик;Системный аналитик-разработчик в команду Продукты бэк-офиса;;;;3.0;Москва;АО Банк ДОМ.РФ IT;;01.06.2026
Системный аналитик;Системный аналитик (мобильное приложение);;;;3.0;Москва;РТЛабс;;28.05.2026
Системный аналитик;Бизнес-аналитик (строительные проекты);;;;3.0;Санкт-Петербург;Холдинг ТИТАН2;;04.06.2026
Системный аналитик;Бизнес-аналитик;;;;3.0;Москва;NOVAROLL;Бизнес-анализ, Аналитическое мышление, Стратегическое планирование, ERP-системы на базе 1С, SQL, Power BI;22.05.2026
Системный аналитик;Системный аналитик Directum;;;;3.0;Санкт-Петербург;IBS;Directum;12.05.2026
Системный аналитик;Системный аналитик 1С;;;;3.0;Москва;Газпромбанк;;15.05.2026
Системный аналитик;Аналитик данных;;;;;Санкт-Петербург;ПАО Банк Санкт-Петербург;SQL, Python, Apache Airflow, Анализ данных, Визуализация данных, Power BI, Data Mining, QlikView, Аналитическое мышление, Flask, Django Framework, A/B тесты, Ad Hoc Analysis, Spark, DBeaver;14.05.2026
Системный аналитик;Старший системный аналитик;;;;3.0;Москва;ООО Сбер2B;;12.05.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;Полюс;SQL, Python, Микросервисная архитектура;14.05.2026
Системный аналитик;Главный системный аналитик (кредитные карты);;;;3.0;Москва;Сбер. IT;;14.05.2026
Системный аналитик;Системный аналитик;;;;3.0;Санкт-Петербург;ПАО «Газпром нефть» ИТ;;12.05.2026
Системный аналитик;Аналитик данных;220000;260000.0;net;3.0;Москва;Jobers;;13.05.2026
Системный аналитик;Системный аналитик/Бизнес-аналитик;150000;;net;;Москва;Аптечная сеть Ваша №1 х Таблетка.ру;;22.05.2026
Системный аналитик;Системный аналитик;;;;;Рязань;Сбер. IT;;18.05.2026
Системный аналитик;Системный Аналитик (ИТ-подразделение);;;;3.0;Москва;Страховая группа МАКС;Системный анализ, JSON API;25.05.2026
Системный аналитик;Системный аналитик;;;;;Москва;Ситуационно-Информационный Центр Министерства Транспорта Российской Федерации;;18.05.2026
Системный аналитик;Системный аналитик 1С (финансовый блок);;;;3.0;Санкт-Петербург;Melon Fashion Group. IT;Разработка технических заданий, Постановка задач разработчикам, Моделирование бизнес процессов, 1С, Анализ бизнес-процессов, Описание бизнес-процессов, Техническое задание, Аналитические навыки;28.05.2026
Системный аналитик;Системный аналитик;50000;;gross;;Саратов;ООО ГИТ;;18.05.2026
Системный аналитик;Системный аналитик;;;;;город Новосибирск;ООО «Предприятие «ЭЛТЕКС»;UML, BPMN, Linux, Системная аналитика, Техническая документация, Бизнес-аналитика;18.05.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;Bell Integrator Регионы;;18.05.2026
Системный аналитик;Системный аналитик (инфраструктурные проекты);;;;;Москва;ПАО Ростелеком;Постановка задач разработчикам;25.05.2026
Системный аналитик;Системный аналитик Middle/Senior;200000;350000.0;net;3.0;Москва;ИП Трифонов Вячеслав Евгеньевич;SQL, Системный анализ, UML, BPMN, Use case, Постановка задач разработчикам, JSON API, REST API, PlantUML, PostgreSQL, Микросервисная архитектура, Swagger, Agile, User Story, JSON, Postman, API, REST, XML;25.05.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;Ригла;;18.05.2026
Системный аналитик;Главный системный аналитик (Казначейство);;;;3.0;Москва;Альфа-Банк. ИТ-специалисты;Системный анализ, SOAP, Postman, Аналитическое мышление, Анализ требований, Постановка задач разработчикам;25.05.2026
Системный аналитик;Системный аналитик (Машиностроительная отрасль);;;;3.0;Москва;АО СИ ЭС Групп;BPMN, ERP, MES-системы, WMS, Технологии машиностроения и приборостроения, Системная интеграция;25.05.2026
Системный аналитик;Системный аналитик 1C;;;net;;Красноярск;Командор;;25.05.2026
Системный аналитик;Системный аналитик 1С;;;;;Москва;ФГАОУ ВО МГТУ им. Н.Э. Баумана;;25.05.2026
Системный аналитик;Системный аналитик (IT) / System analyst;;;;3.0;Переславль-Залесский;it-aces.com;;20.05.2026
Системный аналитик;Системный аналитик в HR Tech;;;;3.0;Москва;RWB (Wildberries & Russ);;25.05.2026
Системный аналитик;Аналитик данных;;;;;Москва;Dau Relationship Marketing;аналитика, A/B тесты, SQL, CRM, Python, Автоматизация;29.05.2026
Системный аналитик;Системный аналитик 1С:ERP;130000;180000.0;net;3.0;Санкт-Петербург;АО ЗАСЛОН;1С:ERP, 1C: Зарплата и кадры, Постановка задач разработчикам, Разработка технических заданий, Системный анализ, Бухгалтерский учет;25.05.2026
Системный аналитик;Бизнес-аналитик;;;;3.0;Москва;Сбер для экспертов;;29.05.2026
Системный аналитик;Младший системный аналитик;;;;;Москва;ООО Фаззи Лоджик Лабс;SQL, Postman, SOAP, REST, UML, BPMN, Use case, SoapUI;20.05.2026
Системный аналитик;Системный аналитик (реестровые системы);200000;;net;3.0;Москва;ИП Нестерова Екатерина Эдуардовна;Use case, UML, BPMN, Постановка задач разработчикам, Работа с базами данных;23.05.2026
Системный аналитик;Старший продуктовый аналитик, Группа продукта Заказы в ЛК покупателя;;;;3.0;Москва;Ozon Tech;Системный анализ, Бизнес-анализ, Сбор требований, REST API, Apache Kafka, gRPC, PostgreSQL, UML, BPMN, Постановка задач разработчикам, IT, Торговая площадка;04.06.2026
Системный аналитик;Бизнес-аналитик;83400;;gross;;Нижний Новгород;Сбер. IT;;28.05.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;АО ГК Орбита;;13.05.2026
Системный аналитик;Системный Аналитик;;;;3.0;Москва;АО Зарубежнефть;;13.05.2026
Системный аналитик;Аналитик данных в стартап;110000;;net;;Москва;HR Point Plus (ИП Цветкова Анастасия Михайловна);Аналитическое мышление, SQL, Работа с большим объемом информации, Визуализация данных, Power BI, A/B тесты, MS Excel, Google Sheets, Python, Маркетинговые метрики, Анализ данных, Продуктовая аналитика, Формирование гипотез, Сводные таблицы, Системное мышление;01.06.2026
Системный аналитик;Аналитик данных / BI-аналитик;;;;3.0;Москва;OFFPRICE;Бизнес-анализ, Бизнес-планирование, Аналитическое мышление, Olap (online analytical processing), Стратегическое мышление;28.05.2026
Системный аналитик;Системный аналитик (senior);300000;400000.0;net;;Москва;Selecty;SQL, Системный анализ, UML, PostgreSQL, JSON API, MS SQL Server, BPMN, Atlassian Jira, SOA, User Story, Use case, Atlassian Confluence, Agile, API, SOAP, JSON, REST API, XML, Микросервисная архитектура;18.05.2026
Системный аналитик;Системный аналитик (Финтех);;;;3.0;Москва;1PAYMENT;Системный анализ, Бизнес-анализ, Docker, PostgreSQL, JSON API, API, REST API, BPMN, UML;18.05.2026
Системный аналитик;Системный аналитик/Аналитик 1С;;;;3.0;Ижевск;Фармаимпекс;;18.05.2026
Системный аналитик;Системный аналитик | Senior System Analyst;300000;340000.0;net;;Екатеринбург;Юмнико;Системный анализ, Java, Аналитическое мышление, Описание бизнес-процессов, Разработка функциональных требований, Техническая документация, Постановка задач разработчикам, Английский — B1 — Средний;15.05.2026
Системный аналитик;Бизнес Аналитик Интеллектуальных Транспортных Систем;150000;200000.0;gross;3.0;Санкт-Петербург;Елисеенко Анна Евгеньевна;Системный аналитик, Веб-аналитика, Моделирование процессов, Моделирование бизнес-процессов, ГИС, GIS, Разработка пользовательской документации, REST API, Разработка технических заданий, Моделирование, Сбор требований, Постановка задач разработчикам, Управление требованиями, Анализ требований, Сбор и анализ информации, Разработка проектной документации, Разработка документации, Бизнес Аналитик, Менеджмент качества, Спецификация требований, AS IS/TO BE mapping, BPMN, DFD, C4, Figma, Miro, Draw.io, Atlassian Jira, Atlassian Confluence, YouTrack;01.06.2026
Системный аналитик;Бизнес-аналитик;;;;;Москва;ИП Беляева Анастасия Александровна;Бизнес-анализ, Стратегическое планирование, Use case, User Story, Agile, Scrum, Описание бизнес-процессов, Системное мышление;26.05.2026
Системный аналитик;Системный аналитик (радиолокационные системы);;;;3.0;Санкт-Петербург;Myrtle;;19.05.2026
Системный аналитик;Ведущий системный аналитик (BPMSoft);;;;;Москва;СберЛизинг;;19.05.2026
Системный аналитик;Системный аналитик (Tantor DI);;;;3.0;Москва;Группа компаний Астра;СУБД, Apache Kafka, ETL, CDC, PostgreSQL, Debezium, Sphinx, REST, REST API, Хранилище данных, ELT;19.05.2026
Системный аналитик;Ведущий системный аналитик / Архитектор ИС (AI-интеграции);81000;;gross;3.0;Владивосток;КГКУ Информационно-технологический центр Приморского края;;25.05.2026
Системный аналитик;Младший системный аналитик TOS;;;;;Москва;TKV Group;;19.05.2026
Системный аналитик;Бизнес/системный аналитик (Fullstack);;;;3.0;Екатеринбург;АО ИТ-Элемент29;SQL, DWH, API, Сбор требований;19.05.2026
Системный аналитик;Аналитик данных;;250000.0;net;3.0;Санкт-Петербург;Enjoypro;Hadoop, Clickhouse, Greenplum, Apache Airflow, Apache Spark, Apache Kafka, Системный анализ, DWH, Data Analysis, SQL, ETL, Agile, Kanban, Scrum;25.05.2026
Системный аналитик;Аналитик данных (Секьюритизация и управление капиталом);;;;3.0;Москва;Т-Банк. Другое;;01.06.2026
Системный аналитик;Аналитик данных;;;;3.0;Химки;ББР Банк;SQL, Системный анализ, Анализ требований, PostgreSQL;25.05.2026
Системный аналитик;Главный аналитик данных;;;;3.0;Москва;Контроль Москвы;SQL, Аналитическое мышление, Анализ бизнес-процессов, Системный анализ, Бизнес-анализ, Моделирование бизнес-процессов, Figma, Разработка функциональных требований, Python, Atlassian Jira, Atlassian Confluence, Draw.io;28.05.2026
Системный аналитик;Ведущий системный аналитик;;;;3.0;Москва;СберСпасибо;;13.05.2026
Системный аналитик;Middle+ Аналитик данных;;210000.0;net;3.0;Москва;ООО ИЦ АЙ-ТЕКО;;28.05.2026
Системный аналитик;Аналитик данных;;;;;Москва;ООО А7-Агент;;25.05.2026
Системный аналитик;Бизнес-аналитик BI;;;gross;3.0;Москва;ООО Объединенные кондитеры;Бизнес-анализ;28.05.2026
Системный аналитик;Системный аналитик GigaChat;;;;3.0;Москва;Сбер. IT;;13.05.2026
Системный аналитик;Ведущий системный аналитик 1С (продажи);;;;3.0;Москва;ООО ПУЛЬС АЙТИМ;консоль запросов 1С, BPMN, UML, Постановка задач разработчикам, Анализ бизнес-процессов, Сбор требований;19.05.2026
Системный аналитик;Бизнес-аналитик (цифровой рубль);;;;3.0;Москва;Сбер для экспертов;;28.05.2026
Системный аналитик;Продуктовый менеджер/ Бизнес-аналитик;;;;;Москва;Сбер для экспертов;;28.05.2026
Системный аналитик;Старший бизнес-аналитик;;;;3.0;Москва;ООО Лоция;Бизнес-анализ, Импортозамещение, BPMN, Анализ бизнес-процессов, Моделирование бизнес-процессов, Оптимизация бизнес-процессов;26.05.2026
Системный аналитик;Бизнес-аналитик (BI-разработчик);;;gross;3.0;Рязань;ООО СПЕКТР;;27.05.2026
Системный аналитик;Главный системный аналитик (кредитные карты);;;;3.0;Москва;Сбер. IT;;14.05.2026
Системный аналитик;Бизнес-аналитик (ИТ направление);;;;;Москва;ПАО Ростелеком;Бизнес-анализ, Стратегическое планирование, BPMN, User Story, Acceptance criteria;27.05.2026
Системный аналитик;Ведущий бизнес/системный аналитик (офис);350000;400000.0;gross;;Москва;Selecty;;14.05.2026
Системный аналитик;Системный аналитик для разработки ИИ-агентов (SberНадежность);;;;;Москва;Сбер. IT;;18.05.2026
Системный аналитик;Системный аналитик (ИТ блок Строительства);;;;3.0;Москва;Сбер. IT;;14.05.2026
Системный аналитик;Системный аналитик в стрим ОПК (банковские проекты);;;;3.0;Нижний Новгород;Т1 Иннотех;знание специфики банковской деятельности, опыт работы с АБС, REST API, SQL, Системный анализ, BPMN;18.05.2026
Системный аналитик;Бизнес-аналитик;;;;3.0;Москва;ПАО Ростелеком;Анализ требований, BPMN, Моделирование бизнес-процессов, Бизнес-анализ;20.05.2026
Системный аналитик;Системный аналитик (РКО Юридических Лиц, бухгалтерский учет);230000;250000.0;net;3.0;Москва;DCloud;;18.05.2026
Системный аналитик;Старший бизнес-аналитик 1С;;;;3.0;Москва;АО МАЗ «Москвич»;;26.05.2026
Системный аналитик;Системный аналитик (расчетные счета, депозиты, кредитные карты);;;;;Екатеринбург;ПАО БАНК УРАЛСИБ;SQL, Системный анализ, BPMN, UML, Use case, SOAP, ORACLE, REST API, кредитные карты, депозиты, РКО;14.05.2026
Системный аналитик;Разработчик (системный аналитик, тестировщик) бортовых алгоритмов управления;;;;;Химки;АО НПО ЛАВОЧКИНА;Алгоритмы и структуры данных, Разработка методики испытаний, Тестирование, Python, C, Разработка ПО, AQA, Автоматизированное тестирование, Написание автотестов;14.05.2026
DevOps инженер;DevOps-инженер;;200000.0;net;;Москва;ООО ВойсЛинк;Linux, Docker, Python, Kubernetes;10.06.2026
DevOps инженер;DevOps-инженер;;;;3.0;Москва;АО НПЦ ЭЛВИС;;09.06.2026
DevOps инженер;Devops;200000;300000.0;gross;;Москва;ООО Инсап;Linux, Docker, Python, Kubernetes, Английский язык, Git, DevOps, Bash, SQL, Внедрение систем информационной безопасности, Vertica;09.06.2026
DevOps инженер;DevOps-инженер;;;;3.0;Москва;АО Эксперт РА;Python, Bash, Gitlab, Kubernetes, Docker, PostgreSQL, ORACLE, Zabbix, Grafana, Prometheus, VMware, Английский — B2 — Средне-продвинутый;09.06.2026
DevOps инженер;DevOps инженер;;;;;Киров;АО Коммерческий банк «Хлынов»;;09.06.2026
DevOps инженер;DevOps-инженер;200000;225000.0;gross;3.0;Москва;DV Group;Linux, Docker, Docker-compose, Kubernetes, Gitlab, CI/CD, Terraform, Ansible, Helm, Python, Bash, Yandex Cloud;09.06.2026
DevOps инженер;DevOps-инженер;;;;3.0;Москва;АО РНПК;Jenkins, GitLab CI, Ansible, Terraform, Nexus, PostgreSQL, MySQL, Bash, MongoDB, Redis, Linux, Docker, Kubernetes, Prometheus, Grafana, Zabbix, Английский — B1 — Средний;09.06.2026
DevOps инженер;DevOps-инженер;;;;3.0;Москва;АО Агропромцифра;;09.06.2026
DevOps инженер;DevOps-инженер;250000;;net;3.0;Москва;Чубатюк Никита Васильевич;Linux, Docker, Grafana, Prometheus, PostgreSQL, Администрирование серверов Linux, KeyCloak, Ansible;09.06.2026
DevOps инженер;DevOps-инженер;;;;3.0;Санкт-Петербург;ООО Аеза Групп;;09.06.2026
DevOps инженер;DevOps-инженер;;;;3.0;Ростов-на-Дону;ИТЛ Консалтинг;;09.06.2026
DevOps инженер;DevOps-инженер;;;;;Москва;Снежная Королева;;09.06.2026
DevOps инженер;Middle DevOps инженер;;;;3.0;Санкт-Петербург;БАНК РОССИЯ;;09.06.2026
DevOps инженер;DevOps Engineer (Middle);;;;;Казань;ООО Визум;;09.06.2026
